Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.182077,0.147502,0.427153,0.007461,0.012035,0.078151,0.115260,0.001557,0.024254,0.004550
2,0.168952,0.050316,0.047130,0.012277,0.025333,0.024665,0.073237,0.007147,0.589633,0.001308
3,0.837030,0.041024,0.000654,0.000716,0.014501,0.005583,0.021562,0.070799,0.000115,0.008016
4,0.979070,0.005828,0.001603,0.001174,0.002950,0.002364,0.004473,0.001756,0.000342,0.000441
5,0.961751,0.003090,0.001792,0.000575,0.000363,0.017423,0.000786,0.012382,0.000948,0.000891
6,0.323894,0.003485,0.002320,0.009333,0.243833,0.085272,0.095162,0.231687,0.000167,0.004847
7,0.170823,0.055714,0.015166,0.038187,0.289145,0.066904,0.043987,0.001895,0.313561,0.004618
8,0.648239,0.003512,0.000877,0.000765,0.050761,0.001722,0.018787,0.237241,0.000786,0.037311
9,0.926279,0.002184,0.001863,0.000913,0.039724,0.002037,0.019190,0.007093,0.000094,0.000623
10,0.347926,0.535194,0.054300,0.002967,0.002218,0.004771,0.003924,0.033035,0.013821,0.001844
11,0.842530,0.024571,0.003730,0.001088,0.051319,0.013049,0.057977,0.005312,0.000101,0.000322
12,0.325185,0.168589,0.082609,0.146439,0.043197,0.005421,0.014462,0.020945,0.000014,0.193139
13,0.864511,0.078572,0.003708,0.001610,0.018940,0.005373,0.019206,0.002078,0.000361,0.005640
14,0.159445,0.019942,0.039618,0.098386,0.021527,0.008937,0.008023,0.281783,0.025245,0.337094
15,0.351392,0.112926,0.003437,0.444202,0.006474,0.043660,0.033866,0.001202,0.000082,0.002760
16,0.491316,0.061525,0.002170,0.061516,0.033425,0.007354,0.034010,0.291704,0.000245,0.016735
17,0.349909,0.167443,0.084097,0.111000,0.091828,0.112974,0.030877,0.017557,0.024087,0.010229
18,0.995361,0.003672,0.000197,0.000020,0.000140,0.000181,0.000054,0.000350,0.000010,0.000013
19,0.105307,0.010277,0.372310,0.003763,0.006214,0.453772,0.017554,0.022800,0.007234,0.000768
20,0.216751,0.719764,0.006402,0.005941,0.007582,0.004676,0.030134,0.000246,0.007824,0.000679
21,0.113240,0.702876,0.172595,0.000919,0.000444,0.001249,0.008426,0.000036,0.000079,0.000136
22,0.685037,0.002563,0.006396,0.002025,0.004248,0.048688,0.029241,0.104956,0.000718,0.116128
23,0.940786,0.017411,0.007426,0.011492,0.009662,0.003373,0.002302,0.005054,0.000023,0.002470
24,0.609267,0.187085,0.002565,0.079946,0.002586,0.050235,0.026353,0.021499,0.000218,0.020245
25,0.713912,0.182194,0.043147,0.001158,0.002510,0.011054,0.009198,0.035226,0.000241,0.001360
26,0.149614,0.146556,0.067884,0.312832,0.148665,0.023882,0.117744,0.002468,0.001727,0.028627
27,0.030569,0.342486,0.573262,0.006235,0.000990,0.032948,0.012350,0.000071,0.000944,0.000146
28,0.339706,0.004165,0.019984,0.008868,0.027050,0.020617,0.011643,0.522530,0.031476,0.013962
29,0.573568,0.007782,0.005759,0.014584,0.041961,0.105053,0.020494,0.136296,0.091129,0.003374
30,0.909590,0.012421,0.005199,0.002987,0.012880,0.016525,0.012711,0.022137,0.005289,0.000261
31,0.115156,0.045503,0.017828,0.417578,0.014517,0.027143,0.033655,0.007713,0.000191,0.320715
32,0.976633,0.006208,0.007718,0.001013,0.000918,0.000791,0.001084,0.001020,0.000114,0.004500
33,0.716157,0.047438,0.002768,0.001442,0.005017,0.005791,0.058285,0.140898,0.000647,0.021557
34,0.492193,0.013153,0.026559,0.054523,0.072251,0.127263,0.016936,0.050069,0.121706,0.025347
35,0.303721,0.203066,0.009485,0.382612,0.008925,0.007125,0.005251,0.003298,0.000544,0.075972
36,0.091710,0.098543,0.061385,0.196896,0.006711,0.536656,0.002382,0.003108,0.000165,0.002443
37,0.918121,0.012985,0.000949,0.007579,0.000880,0.003670,0.002810,0.051128,0.000102,0.001777
38,0.946937,0.002143,0.000733,0.001494,0.020851,0.008667,0.002651,0.011126,0.005154,0.000244
39,0.984792,0.008033,0.000494,0.000371,0.001661,0.000780,0.000168,0.002125,0.000012,0.001566
40,0.291716,0.554830,0.020913,0.052646,0.016868,0.040128,0.018375,0.002158,0.000903,0.001463
41,0.798350,0.015631,0.004004,0.006843,0.050660,0.022473,0.046415,0.036586,0.002464,0.016573
42,0.353102,0.604211,0.001706,0.001867,0.017133,0.002472,0.002610,0.005567,0.005479,0.005853
43,0.037588,0.003261,0.656476,0.000777,0.013807,0.019551,0.085954,0.013589,0.004635,0.164362
44,0.518513,0.151669,0.074354,0.027541,0.035882,0.054542,0.020349,0.096106,0.017581,0.003462
45,0.897078,0.060349,0.013507,0.001688,0.002089,0.004048,0.008261,0.003249,0.000508,0.009225
46,0.066576,0.881589,0.042644,0.002262,0.003017,0.001282,0.002216,0.000204,0.000106,0.000103
47,0.172046,0.797876,0.002970,0.002751,0.007643,0.001493,0.014544,0.000064,0.000461,0.000152
48,0.881055,0.072697,0.001588,0.006938,0.008409,0.012364,0.013731,0.002468,0.000091,0.000660
49,0.423330,0.029342,0.002323,0.218279,0.051023,0.089680,0.004862,0.157520,0.000068,0.023573
50,0.663776,0.073573,0.017329,0.031031,0.012043,0.085831,0.035558,0.049499,0.024328,0.007033
51,0.006145,0.939192,0.053860,0.000309,0.000007,0.000318,0.000165,0.000000,0.000000,0.000002
52,0.285783,0.070779,0.377594,0.002750,0.024032,0.212727,0.009002,0.014178,0.002947,0.000208
53,0.326888,0.361555,0.008892,0.080813,0.015676,0.089602,0.106396,0.004476,0.002934,0.002768
54,0.681691,0.044339,0.001345,0.002633,0.088459,0.006181,0.021463,0.147974,0.001922,0.003993
55,0.005161,0.003837,0.981385,0.000081,0.000490,0.005337,0.000121,0.000035,0.003546,0.000006
56,0.048236,0.037695,0.829219,0.010873,0.014907,0.029379,0.010186,0.000278,0.018697,0.000529
57,0.118894,0.091892,0.002454,0.030382,0.579108,0.106585,0.016980,0.005587,0.011772,0.036345
58,0.956211,0.028114,0.004898,0.000145,0.002959,0.000651,0.001893,0.004236,0.000055,0.000839
59,0.000164,0.000529,0.977596,0.000134,0.008083,0.007256,0.000040,0.000006,0.006189,0.000004
60,0.579714,0.326153,0.007945,0.003045,0.035043,0.011025,0.010815,0.024221,0.000289,0.001749
61,0.661831,0.020731,0.003009,0.096789,0.024679,0.043174,0.104639,0.014925,0.001726,0.028497
62,0.865046,0.018025,0.063723,0.003716,0.005345,0.013785,0.002896,0.013669,0.000203,0.013592
63,0.101417,0.086806,0.002457,0.563246,0.093351,0.086816,0.011017,0.033802,0.001800,0.019289
64,0.975089,0.002264,0.001456,0.003142,0.001931,0.002604,0.001752,0.009688,0.001750,0.000324
65,0.330818,0.019376,0.008487,0.136696,0.137898,0.227357,0.086588,0.012993,0.035583,0.004204
66,0.695732,0.289096,0.002284,0.001315,0.004359,0.000913,0.001549,0.000317,0.000004,0.004431
67,0.867802,0.012934,0.001025,0.004381,0.000707,0.020978,0.000525,0.084959,0.005401,0.001288
68,0.147914,0.530495,0.004016,0.270587,0.011778,0.006931,0.022534,0.001429,0.000040,0.004276
69,0.111245,0.804069,0.024744,0.030428,0.015382,0.009179,0.004094,0.000087,0.000096,0.000678
70,0.733618,0.063824,0.088878,0.021090,0.025277,0.027994,0.006083,0.018716,0.001289,0.013229
71,0.969773,0.000284,0.000135,0.000002,0.001994,0.000475,0.000483,0.024658,0.000085,0.002111
72,0.333844,0.040454,0.040421,0.023423,0.396882,0.058984,0.032904,0.061339,0.002502,0.009246
73,0.415142,0.015400,0.005773,0.058050,0.018028,0.089362,0.003597,0.351520,0.001007,0.042120
74,0.110182,0.016627,0.068208,0.026300,0.127351,0.013984,0.159906,0.010030,0.000502,0.466911
75,0.479927,0.003779,0.002540,0.000130,0.001437,0.001321,0.002064,0.504547,0.002526,0.001729
