Sample_id,Sample_label
1,3
2,3
3,2
4,1
5,1
6,1
7,5
8,1
9,8
10,2
11,1
12,4
13,7
14,5
15,1
16,8
17,2
18,1
19,3
20,2
21,9
22,3
23,2
24,4
25,2
26,2
27,3
28,1
29,1
30,8
31,1
32,1
33,1
34,5
35,1
36,4
37,1
38,2
39,1
40,2
41,1
42,2
43,6
44,4
45,2
46,2
47,2
48,1
49,2
50,4
51,2
52,5
53,10
54,1
55,6
56,3
57,9
58,1
59,3
60,7
61,2
62,1
63,1
64,1
65,5
66,1
67,1
68,1
69,1
70,8
71,1
72,1
73,4
74,5
75,1
76,2
77,2
78,3
79,6
80,6
81,3
82,6
83,1
84,1
85,3
86,8
87,2
88,3
89,7
90,1
91,8
92,7
93,1
94,1
95,1
96,1
97,6
98,10
99,2
100,6
101,5
102,4
103,1
104,1
105,9
106,6
107,1
108,1
109,1
110,7
111,1
112,2
113,1
114,8
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,1
125,3
126,9
127,1
128,1
129,9
130,2
131,5
132,1
133,1
134,8
135,2
136,6
137,3
138,2
139,3
140,1
141,6
142,1
143,1
144,1
145,10
146,1
147,4
148,1
149,4
150,1
151,2
152,4
153,2
154,4
155,7
156,1
157,8
158,1
159,1
160,9
161,7
162,1
163,1
164,1
165,8
166,5
167,7
168,10
169,1
170,4
171,1
172,1
173,5
174,5
175,1
176,2
177,8
178,4
179,3
180,4
181,1
182,1
183,2
184,3
185,2
186,1
187,6
188,3
189,1
190,10
191,1
192,2
193,1
194,3
195,9
196,3
197,2
198,8
199,2
200,8
201,2
202,1
203,4
204,1
205,1
206,1
207,2
208,2
209,1
210,3
211,4
212,4
213,1
214,1
215,1
216,2
217,6
218,2
219,4
220,2
221,6
222,1
223,1
224,1
225,1
226,3
227,1
228,2
229,9
230,1
231,3
232,1
233,1
234,1
235,5
236,1
237,3
238,5
239,1
240,5
241,8
242,5
243,1
244,1
245,1
246,1
247,1
248,2
249,2
250,1
251,1
252,1
253,2
254,3
255,1
256,2
257,5
258,7
259,1
260,1
261,4
262,2
263,1
264,1
265,2
266,1
267,1
268,8
269,6
270,1
271,1
272,2
273,1
274,6
275,8
276,2
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,4
287,5
288,6
289,2
290,2
291,1
292,1
293,10
294,1
295,8
296,1
297,1
298,1
299,1
300,2
301,5
302,1
303,6
304,1
305,1
306,8
307,10
308,1
309,7
310,1
311,1
312,3
313,4
314,1
315,1
316,6
317,2
318,1
319,2
320,1
321,7
322,2
323,1
324,1
325,1
326,8
327,3
328,1
329,1
330,1
331,2
332,5
333,1
334,1
335,1
336,1
337,5
338,6
339,3
340,5
341,6
342,1
343,1
344,7
345,1
346,7
347,2
348,1
349,5
350,1
351,1
352,6
353,5
354,2
355,2
356,1
357,1
358,1
359,8
360,1
361,1
362,8
363,1
364,6
365,2
366,3
367,2
368,1
369,4
370,5
371,1
372,2
373,7
374,1
375,6
376,2
377,1
378,1
379,1
380,10
381,8
382,1
383,1
384,5
385,2
386,3
387,3
388,1
389,1
390,2
391,8
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,4
400,1
401,3
402,1
403,8
404,1
405,1
406,2
407,5
408,5
409,1
410,1
411,1
412,1
413,6
414,2
415,1
416,1
417,3
418,1
419,1
420,3
421,7
422,10
423,1
424,1
425,1
426,1
427,2
428,5
429,1
430,2
431,7
432,1
433,1
434,4
435,1
436,1
437,2
438,5
439,9
440,6
441,8
442,3
443,8
444,1
445,3
446,3
447,1
448,6
449,6
450,5
451,1
452,2
453,1
454,10
455,1
456,3
457,3
458,1
459,8
460,8
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,4
470,5
471,6
472,1
473,1
474,5
475,2
476,1
477,3
478,1
479,1
480,1
481,1
482,3
483,1
484,4
485,2
486,6
487,1
488,1
489,7
490,2
491,6
492,4
493,1
494,2
495,1
496,2
497,3
498,5
499,6
500,1
501,6
502,1
503,2
504,1
505,5
506,10
507,1
508,8
509,2
510,4
511,4
512,1
513,1
514,2
515,3
516,4
517,1
518,7
519,1
520,6
521,3
522,1
523,2
524,1
525,1
526,6
527,5
528,3
529,7
530,4
531,1
532,8
533,2
534,1
535,1
536,1
537,1
538,5
539,1
540,8
541,7
542,3
543,4
544,1
545,1
546,7
547,10
548,1
549,5
550,10
551,4
552,6
553,3
554,7
555,8
556,2
557,1
558,5
559,3
560,3
561,1
562,4
563,1
564,1
565,1
566,1
567,1
568,1
569,2
570,4
571,1
572,1
573,1
574,5
575,8
576,2
577,2
578,1
579,4
580,2
581,2
582,10
583,1
584,1
585,1
586,2
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,6
598,1
599,6
600,1
601,4
602,3
603,1
604,2
605,6
606,1
607,1
608,4
609,2
610,7
611,1
612,3
613,9
