Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.162276,0.075712,0.413729,0.003724,0.023645,0.076718,0.217124,0.003725,0.017041,0.006307
2,0.117490,0.032997,0.065271,0.005869,0.007874,0.012432,0.044992,0.004833,0.705966,0.002276
3,0.885990,0.024222,0.000473,0.000733,0.026621,0.007465,0.015442,0.032888,0.000064,0.006103
4,0.959202,0.013224,0.001160,0.002264,0.007582,0.004506,0.007097,0.002756,0.000973,0.001237
5,0.961220,0.002575,0.000437,0.000309,0.000344,0.014176,0.000622,0.018522,0.001128,0.000667
6,0.434534,0.003785,0.001717,0.004980,0.255672,0.096134,0.087059,0.114004,0.000145,0.001970
7,0.117311,0.039826,0.006307,0.032010,0.423829,0.073736,0.045823,0.002851,0.254308,0.003999
8,0.650845,0.007785,0.003163,0.001325,0.102812,0.004293,0.019917,0.196659,0.000899,0.012302
9,0.973873,0.001578,0.001208,0.000511,0.008375,0.001974,0.009365,0.002814,0.000020,0.000283
10,0.302175,0.609830,0.037478,0.003360,0.002686,0.004241,0.003819,0.011461,0.024390,0.000560
11,0.837904,0.021238,0.003400,0.000548,0.028642,0.018159,0.081513,0.008053,0.000066,0.000476
12,0.212297,0.118743,0.047170,0.163016,0.097606,0.007863,0.011375,0.073981,0.000038,0.267912
13,0.806883,0.095937,0.004671,0.008077,0.017413,0.019358,0.035929,0.001991,0.001618,0.008123
14,0.169521,0.020893,0.046645,0.275809,0.035851,0.023293,0.005623,0.141592,0.142680,0.138094
15,0.350751,0.057221,0.001859,0.459035,0.003386,0.102414,0.020723,0.001810,0.000445,0.002358
16,0.437983,0.047461,0.002237,0.030739,0.017773,0.005454,0.016733,0.414997,0.000315,0.026308
17,0.316563,0.307744,0.070826,0.034690,0.095889,0.113076,0.017233,0.014910,0.022780,0.006289
18,0.989944,0.007661,0.000155,0.000077,0.000508,0.001250,0.000149,0.000203,0.000052,0.000002
19,0.139369,0.011473,0.480550,0.003909,0.001736,0.285518,0.013185,0.058055,0.004135,0.002070
20,0.149634,0.819390,0.001212,0.005314,0.007102,0.002626,0.009722,0.000097,0.004701,0.000203
21,0.201907,0.453541,0.332336,0.000475,0.000434,0.002580,0.006807,0.000277,0.000395,0.001249
22,0.685117,0.005898,0.034811,0.001684,0.008663,0.085680,0.035147,0.116083,0.001332,0.025587
23,0.942801,0.015209,0.004393,0.019063,0.003687,0.006214,0.001701,0.005894,0.000053,0.000984
24,0.569296,0.176332,0.009250,0.036721,0.005191,0.109637,0.025259,0.038760,0.000677,0.028877
25,0.828013,0.102909,0.022280,0.000663,0.001526,0.008798,0.006366,0.028090,0.000262,0.001094
26,0.059028,0.124215,0.032020,0.606505,0.060898,0.017310,0.082258,0.000615,0.001359,0.015792
27,0.038505,0.417499,0.506922,0.002469,0.001114,0.022064,0.008108,0.000311,0.002428,0.000578
28,0.308490,0.002836,0.026198,0.001685,0.012380,0.011931,0.006523,0.594145,0.024216,0.011594
29,0.614279,0.004098,0.003826,0.008665,0.043931,0.073947,0.020019,0.180807,0.046387,0.004042
30,0.950697,0.013512,0.002219,0.000702,0.006104,0.010604,0.006407,0.007496,0.002227,0.000030
31,0.058050,0.022802,0.009288,0.570483,0.008569,0.036460,0.037547,0.002883,0.000117,0.253799
32,0.977110,0.005640,0.003700,0.000716,0.001993,0.000679,0.002326,0.002417,0.000127,0.005291
33,0.720380,0.032201,0.002868,0.000745,0.005576,0.007665,0.040103,0.158226,0.000368,0.031866
34,0.498559,0.022301,0.024600,0.043373,0.050296,0.133082,0.016488,0.087850,0.087531,0.035919
35,0.156405,0.129369,0.002005,0.685428,0.001271,0.003435,0.001004,0.000982,0.000292,0.019809
36,0.034836,0.089241,0.051494,0.085340,0.004057,0.726723,0.001032,0.003980,0.000595,0.002702
37,0.896965,0.036915,0.001554,0.012644,0.003220,0.006913,0.006930,0.032919,0.000283,0.001659
38,0.939236,0.001491,0.000459,0.000866,0.031234,0.007223,0.004472,0.010563,0.004322,0.000135
39,0.983405,0.012016,0.000219,0.001197,0.000712,0.000510,0.000101,0.001525,0.000019,0.000296
40,0.280457,0.605236,0.014160,0.033306,0.017717,0.037129,0.005898,0.001897,0.003078,0.001122
41,0.761806,0.009474,0.004299,0.002241,0.054371,0.029817,0.062389,0.045859,0.001961,0.027784
42,0.541384,0.414176,0.003612,0.001228,0.008327,0.003715,0.001752,0.007214,0.014908,0.003683
43,0.016863,0.000697,0.728933,0.000118,0.004598,0.008475,0.050648,0.014716,0.002026,0.172926
44,0.536806,0.097255,0.100302,0.025529,0.031135,0.059425,0.017827,0.106792,0.017613,0.007317
45,0.917980,0.038202,0.009660,0.005490,0.003291,0.007517,0.008712,0.001547,0.000805,0.006795
46,0.065998,0.924459,0.004815,0.000340,0.002709,0.000738,0.000618,0.000148,0.000163,0.000012
47,0.260661,0.691103,0.004936,0.005342,0.014471,0.002502,0.017245,0.000142,0.003297,0.000300
48,0.881104,0.062263,0.000488,0.007488,0.011024,0.019051,0.017599,0.000531,0.000251,0.000201
49,0.205755,0.017428,0.003102,0.261891,0.040172,0.228869,0.004830,0.212218,0.000301,0.025434
50,0.714437,0.080258,0.006797,0.016186,0.019551,0.082097,0.022293,0.040455,0.012955,0.004971
51,0.016340,0.943357,0.038912,0.000755,0.000005,0.000548,0.000059,0.000004,0.000001,0.000019
52,0.215826,0.060024,0.432966,0.002291,0.023931,0.238529,0.002800,0.014805,0.008721,0.000108
53,0.235084,0.083291,0.012780,0.171440,0.019129,0.195727,0.259940,0.005846,0.008911,0.007853
54,0.651343,0.029372,0.003056,0.009298,0.206883,0.013589,0.017983,0.063995,0.001547,0.002934
55,0.002875,0.002629,0.988125,0.000019,0.000090,0.003091,0.000040,0.000116,0.002993,0.000021
56,0.041250,0.029412,0.854739,0.002714,0.002763,0.009983,0.002681,0.000354,0.055528,0.000576
57,0.054461,0.041892,0.003324,0.050199,0.455211,0.247361,0.017116,0.011828,0.043745,0.074861
58,0.956328,0.022362,0.003980,0.000209,0.003640,0.001026,0.001425,0.009890,0.000194,0.000946
59,0.000103,0.000772,0.939712,0.000409,0.019729,0.013185,0.000026,0.000015,0.026042,0.000007
60,0.437605,0.473854,0.008285,0.003889,0.033586,0.014607,0.012334,0.014346,0.000160,0.001334
61,0.631226,0.017656,0.004844,0.056650,0.037259,0.063168,0.142868,0.012484,0.002671,0.031174
62,0.935389,0.017703,0.025819,0.001769,0.003923,0.007878,0.002301,0.002874,0.000178,0.002166
63,0.081917,0.196212,0.001466,0.595625,0.042864,0.042576,0.009711,0.013191,0.001375,0.015063
64,0.977032,0.000993,0.000878,0.003477,0.000587,0.002948,0.001675,0.011746,0.000439,0.000225
65,0.324921,0.015607,0.019173,0.092113,0.090337,0.279304,0.092515,0.012412,0.070104,0.003514
66,0.448675,0.487222,0.007313,0.004675,0.012584,0.001613,0.001336,0.000528,0.000142,0.035912
67,0.835450,0.023703,0.008478,0.004320,0.001355,0.043375,0.001226,0.055380,0.023677,0.003036
68,0.057970,0.811525,0.001392,0.110371,0.004545,0.003203,0.009976,0.000304,0.000019,0.000695
69,0.088576,0.838680,0.017704,0.028218,0.016248,0.006977,0.002744,0.000122,0.000285,0.000447
70,0.751508,0.068629,0.083479,0.022521,0.015974,0.018237,0.006178,0.016115,0.002566,0.014794
71,0.973912,0.000429,0.000612,0.000001,0.001394,0.000588,0.000469,0.021796,0.000085,0.000714
72,0.429474,0.036774,0.015342,0.008038,0.369492,0.019354,0.033940,0.072162,0.007199,0.008226
73,0.461605,0.018965,0.002634,0.054089,0.017165,0.113688,0.002788,0.312694,0.000496,0.015876
74,0.092999,0.010615,0.064132,0.015690,0.193989,0.011103,0.260107,0.009390,0.000238,0.341737
75,0.511121,0.003282,0.003097,0.000100,0.000636,0.000957,0.001341,0.476957,0.000699,0.001810
76,0.004080,0.811642,0.181771,0.000096,0.000073,0.001835,0.000401,0.000001,0.000085,0.000017
77,0.809184,0.157943,0.001997,0.001935,0.002966,0.008650,0.001622,0.015464,0.000026,0.000215
78,0.030552,0.063681,0.724400,0.003831,0.001176,0.109987,0.010766,0.000625,0.046292,0.008690
79,0.023858,0.003620,0.005085,0.003174,0.025647,0.104216,0.019865,0.000559,0.812896,0.001080
80,0.598196,0.090696,0.021267,0.023344,0.013230,0.032599,0.013924,0.032615,0.012610,0.161520
81,0.016386,0.043745,0.344063,0.007879,0.002784,0.228256,0.002399,0.000305,0.309371,0.044814
82,0.811992,0.021560,0.002411,0.014105,0.020989,0.004283,0.065199,0.048790,0.006470,0.004200
83,0.917791,0.014425,0.000347,0.000194,0.000698,0.002232,0.004221,0.052065,0.006001,0.002025
84,0.487166,0.476431,0.005655,0.014710,0.003283,0.007984,0.002643,0.001063,0.000026,0.001038
85,0.004104,0.010087,0.216546,0.002258,0.000774,0.019879,0.002021,0.000083,0.744226,0.000021
86,0.827827,0.005429,0.005440,0.000708,0.012451,0.003420,0.017337,0.109269,0.000151,0.017967
87,0.154202,0.227220,0.007168,0.474191,0.015454,0.005932,0.047516,0.000037,0.000026,0.068255
88,0.029669,0.205796,0.336341,0.026884,0.002732,0.389119,0.002479,0.000204,0.002727,0.004051
89,0.041794,0.001680,0.028477,0.239387,0.006763,0.018925,0.002342,0.620733,0.001446,0.038453
90,0.822298,0.013158,0.002709,0.018318,0.014251,0.022515,0.036690,0.059550,0.001908,0.008602
91,0.350693,0.014894,0.029794,0.020163,0.018322,0.161099,0.064723,0.011070,0.003905,0.325338
92,0.084059,0.344919,0.478897,0.015616,0.015491,0.019391,0.033754,0.001669,0.005153,0.001052
93,0.936045,0.022699,0.002450,0.000205,0.016968,0.006206,0.004525,0.009703,0.000560,0.000638
94,0.977743,0.005000,0.001420,0.000054,0.003991,0.000573,0.000766,0.009820,0.000433,0.000200
95,0.908230,0.076273,0.000475,0.000526,0.009734,0.001934,0.002288,0.000447,0.000078,0.000016
96,0.620263,0.015911,0.005356,0.124231,0.006808,0.060030,0.063704,0.042760,0.000922,0.060015
97,0.000130,0.000021,0.000398,0.000105,0.994309,0.004627,0.000310,0.000070,0.000023,0.000008
98,0.138586,0.358963,0.024839,0.316054,0.021751,0.083519,0.012997,0.035864,0.002783,0.004644
99,0.201006,0.712688,0.025646,0.001429,0.029656,0.008417,0.017599,0.001484,0.001745,0.000328
100,0.467274,0.025171,0.143050,0.014516,0.059216,0.059318,0.022285,0.095231,0.093563,0.020377
101,0.913541,0.006883,0.000970,0.000226,0.049576,0.001509,0.018876,0.007000,0.000084,0.001337
102,0.038974,0.005388,0.000896,0.771483,0.027584,0.011543,0.067438,0.005634,0.000288,0.070772
103,0.419244,0.030193,0.002822,0.076790,0.375727,0.011749,0.053219,0.009873,0.002813,0.017571
104,0.729290,0.029353,0.001043,0.013824,0.055762,0.033418,0.109337,0.026472,0.000153,0.001347
105,0.096828,0.123271,0.007044,0.408926,0.081593,0.012668,0.082954,0.021335,0.161867,0.003515
106,0.798104,0.161540,0.001286,0.000280,0.004198,0.001218,0.000140,0.026844,0.006353,0.000038
107,0.508558,0.003902,0.001999,0.001535,0.352134,0.008165,0.008062,0.111356,0.002019,0.002269
108,0.991185,0.003411,0.000054,0.000891,0.000317,0.001550,0.002003,0.000414,0.000070,0.000104
109,0.228112,0.638555,0.001548,0.091876,0.010136,0.018176,0.008216,0.000644,0.001885,0.000852
110,0.192864,0.004108,0.010045,0.010540,0.003811,0.001639,0.000310,0.769490,0.000053,0.007140
111,0.244181,0.415789,0.096440,0.124334,0.000730,0.024341,0.002501,0.079479,0.010343,0.001864
112,0.002050,0.984990,0.011705,0.000130,0.000010,0.000452,0.000343,0.000037,0.000257,0.000028
113,0.920515,0.012249,0.000806,0.000113,0.001015,0.003121,0.001680,0.058838,0.000745,0.000917
114,0.816285,0.015610,0.003428,0.002098,0.012005,0.003141,0.016469,0.110577,0.000955,0.019433
115,0.981728,0.008658,0.000596,0.000206,0.001806,0.000825,0.000395,0.005450,0.000327,0.000008
116,0.212470,0.000772,0.007851,0.123663,0.211159,0.037416,0.024523,0.268590,0.037281,0.076275
117,0.892353,0.029631,0.018841,0.001577,0.019404,0.004294,0.024183,0.002349,0.006498,0.000871
118,0.978304,0.010741,0.003712,0.000169,0.000231,0.002050,0.003037,0.001159,0.000207,0.000392
119,0.971802,0.003748,0.000966,0.000293,0.008595,0.002398,0.011095,0.000789,0.000207,0.000106
120,0.712013,0.144112,0.077605,0.001719,0.005599,0.003281,0.001810,0.038021,0.003352,0.012489
121,0.961642,0.004417,0.001134,0.000104,0.000305,0.011904,0.001258,0.018855,0.000023,0.000358
122,0.991629,0.004454,0.000069,0.000113,0.001343,0.000778,0.000381,0.001000,0.000014,0.000220
123,0.194406,0.550250,0.019101,0.099691,0.057446,0.053345,0.002955,0.001487,0.020134,0.001186
124,0.969666,0.007510,0.000694,0.000155,0.007571,0.003915,0.006720,0.002927,0.000494,0.000348
125,0.067049,0.020581,0.861460,0.001211,0.017800,0.011578,0.018086,0.000828,0.000393,0.001014
126,0.184414,0.113854,0.055891,0.021179,0.074220,0.095687,0.027477,0.007881,0.401230,0.018167
127,0.868200,0.056694,0.005563,0.001652,0.014655,0.008716,0.013932,0.019069,0.001616,0.009902
128,0.985775,0.008819,0.001147,0.000509,0.000197,0.001970,0.000761,0.000643,0.000003,0.000177
129,0.002978,0.117813,0.012028,0.453839,0.001965,0.022078,0.003526,0.000598,0.375416,0.009761
130,0.026501,0.958542,0.000029,0.010463,0.003349,0.000544,0.000548,0.000016,0.000001,0.000006
131,0.001617,0.000107,0.000104,0.000231,0.986689,0.009423,0.001681,0.000022,0.000127,0.000000
132,0.830454,0.002541,0.002059,0.000064,0.012373,0.003485,0.003315,0.142432,0.000086,0.003191
133,0.940859,0.006919,0.000567,0.000651,0.003371,0.002871,0.003353,0.034636,0.000025,0.006748
134,0.042826,0.024193,0.012024,0.075335,0.444031,0.088244,0.078699,0.029077,0.165133,0.040438
135,0.962250,0.009709,0.010861,0.004316,0.000662,0.008262,0.003121,0.000144,0.000493,0.000182
136,0.072134,0.017727,0.001146,0.836469,0.004310,0.061455,0.002047,0.002786,0.000213,0.001712
137,0.008879,0.004328,0.002062,0.003494,0.000359,0.976259,0.002190,0.000198,0.002170,0.000061
138,0.005774,0.000747,0.988408,0.000124,0.003016,0.001511,0.000070,0.000027,0.000236,0.000086
139,0.518255,0.018892,0.093531,0.049074,0.029650,0.117938,0.122725,0.028051,0.009719,0.012164
140,0.758574,0.087626,0.005718,0.007042,0.004471,0.030337,0.019896,0.074669,0.002136,0.009532
141,0.775953,0.111775,0.005446,0.005178,0.007947,0.010626,0.003112,0.074170,0.004103,0.001689
142,0.228680,0.026173,0.012418,0.000825,0.008304,0.001258,0.006093,0.700163,0.000397,0.015688
143,0.440231,0.255727,0.006438,0.005965,0.180247,0.019908,0.068651,0.020856,0.000580,0.001397
144,0.990673,0.001791,0.000101,0.000193,0.000563,0.000084,0.001351,0.005211,0.000001,0.000033
145,0.288425,0.039961,0.013958,0.061246,0.051213,0.218422,0.253251,0.005309,0.017819,0.050395
146,0.505250,0.003039,0.000660,0.000057,0.001584,0.000388,0.000702,0.458993,0.028407,0.000920
147,0.164957,0.762150,0.002500,0.023403,0.026739,0.002173,0.011685,0.005190,0.001078,0.000126
148,0.723911,0.029994,0.002433,0.026918,0.078224,0.065877,0.058066,0.009972,0.003223,0.001382
149,0.000764,0.003055,0.002616,0.000072,0.984001,0.000880,0.001345,0.000002,0.007258,0.000006
150,0.636399,0.338901,0.005768,0.001789,0.006764,0.002792,0.002262,0.004827,0.000296,0.000202
151,0.158729,0.825105,0.002903,0.006003,0.000962,0.001749,0.003727,0.000037,0.000712,0.000072
152,0.662809,0.004506,0.005803,0.080630,0.042628,0.062529,0.036713,0.058117,0.042876,0.003388
153,0.026686,0.968522,0.000883,0.002328,0.000935,0.000069,0.000493,0.000041,0.000026,0.000016
154,0.096527,0.092577,0.049388,0.106510,0.459350,0.032626,0.152038,0.003898,0.000975,0.006111
155,0.151649,0.248041,0.032479,0.043644,0.028881,0.454126,0.020583,0.000648,0.000772,0.019177
156,0.907924,0.052523,0.004229,0.013833,0.004582,0.008165,0.003148,0.003291,0.000250,0.002056
157,0.060162,0.016747,0.053553,0.001189,0.177929,0.020658,0.447954,0.140803,0.000627,0.080378
158,0.673066,0.086031,0.009096,0.005370,0.025536,0.024507,0.020690,0.150580,0.001870,0.003253
159,0.612032,0.033715,0.005088,0.023281,0.062859,0.054150,0.043256,0.150291,0.012778,0.002551
160,0.289972,0.018011,0.006190,0.051557,0.297766,0.107853,0.219030,0.000353,0.005780,0.003487
161,0.807065,0.035165,0.008142,0.001079,0.038739,0.007879,0.080279,0.017961,0.001721,0.001970
162,0.257626,0.056819,0.037120,0.040081,0.079918,0.317095,0.183241,0.001714,0.020582,0.005805
163,0.675999,0.018357,0.031866,0.003233,0.054386,0.047247,0.049209,0.102198,0.005789,0.011716
164,0.012919,0.789172,0.001427,0.047264,0.000055,0.147249,0.001800,0.000016,0.000064,0.000033
165,0.183056,0.019894,0.012400,0.354077,0.078762,0.113276,0.065051,0.012983,0.008615,0.151885
166,0.587054,0.119227,0.028309,0.027783,0.014340,0.067467,0.025218,0.096206,0.028084,0.006312
167,0.355299,0.025951,0.020873,0.019227,0.134686,0.055633,0.093696,0.177756,0.063544,0.053334
168,0.808749,0.040857,0.018864,0.000362,0.022822,0.012457,0.067896,0.019449,0.000376,0.008168
169,0.411836,0.048660,0.037487,0.165088,0.006635,0.314095,0.003013,0.003916,0.000074,0.009194
170,0.167366,0.043637,0.001552,0.489702,0.125728,0.111603,0.016830,0.013970,0.004664,0.024948
171,0.033837,0.923364,0.002181,0.026054,0.000370,0.001834,0.012316,0.000012,0.000002,0.000031
172,0.289650,0.018552,0.002694,0.044461,0.268139,0.212490,0.009961,0.123315,0.001954,0.028785
173,0.504804,0.001720,0.001168,0.000743,0.021214,0.008167,0.014928,0.444053,0.001566,0.001637
174,0.568315,0.023284,0.002635,0.147119,0.029078,0.099259,0.001058,0.104567,0.006321,0.018364
175,0.956349,0.028381,0.004778,0.001240,0.002484,0.001598,0.004425,0.000415,0.000215,0.000115
176,0.116818,0.881036,0.000271,0.000295,0.000492,0.000094,0.000655,0.000324,0.000004,0.000011
177,0.728782,0.231729,0.016904,0.000724,0.001457,0.010261,0.001735,0.005439,0.000341,0.002627
178,0.517915,0.076631,0.006003,0.017089,0.263347,0.044298,0.039949,0.005941,0.001126,0.027702
179,0.346185,0.023843,0.042308,0.013417,0.003291,0.368903,0.001517,0.077499,0.001097,0.121940
180,0.727650,0.055225,0.026103,0.026847,0.017254,0.012048,0.090463,0.009070,0.000166,0.035175
181,0.977217,0.004201,0.000413,0.000181,0.000121,0.001506,0.000384,0.014494,0.000025,0.001458
182,0.804897,0.038670,0.003056,0.021207,0.010626,0.019307,0.003200,0.094398,0.000048,0.004590
183,0.003654,0.995848,0.000308,0.000068,0.000070,0.000023,0.000026,0.000001,0.000002,0.000000
