Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.158685,0.072193,0.444565,0.004403,0.027708,0.071922,0.196753,0.003160,0.016043,0.004568
2,0.110810,0.029246,0.071751,0.006947,0.008750,0.012701,0.042781,0.004492,0.710604,0.001919
3,0.896356,0.019324,0.000465,0.000751,0.026239,0.004806,0.014770,0.030166,0.000056,0.007066
4,0.960287,0.011168,0.001503,0.002614,0.008781,0.003450,0.006457,0.002944,0.001047,0.001749
5,0.961451,0.002123,0.000597,0.000424,0.000469,0.012381,0.000526,0.019675,0.001416,0.000937
6,0.448166,0.002792,0.001672,0.005299,0.265666,0.074030,0.075614,0.124604,0.000144,0.002013
7,0.136171,0.039831,0.007199,0.033163,0.381986,0.068908,0.041841,0.002888,0.283398,0.004615
8,0.658947,0.005931,0.002539,0.001459,0.101353,0.003345,0.020402,0.192090,0.000780,0.013154
9,0.971736,0.001243,0.001540,0.000654,0.011106,0.001514,0.008337,0.003440,0.000023,0.000407
10,0.303301,0.594065,0.050436,0.003805,0.003558,0.004961,0.005889,0.010686,0.022677,0.000624
11,0.845657,0.017824,0.004181,0.000644,0.034196,0.013693,0.074742,0.008469,0.000066,0.000526
12,0.232595,0.105189,0.040719,0.148447,0.113641,0.006921,0.018673,0.066516,0.000028,0.267271
13,0.819340,0.087734,0.005876,0.008520,0.018793,0.013868,0.032899,0.001854,0.001586,0.009531
14,0.175602,0.017529,0.041510,0.288099,0.039572,0.024949,0.006940,0.135357,0.133499,0.136945
15,0.361769,0.049895,0.003260,0.465388,0.004719,0.086709,0.022677,0.002097,0.000507,0.002980
16,0.439024,0.035659,0.002109,0.030243,0.020353,0.004516,0.024096,0.416875,0.000254,0.026871
17,0.325615,0.288526,0.078976,0.033885,0.101342,0.112108,0.019391,0.012819,0.020987,0.006351
18,0.990428,0.006817,0.000305,0.000098,0.000736,0.001151,0.000146,0.000247,0.000068,0.000004
19,0.117690,0.008771,0.490734,0.004631,0.002408,0.311088,0.011866,0.047590,0.003886,0.001336
20,0.149719,0.818576,0.001864,0.004753,0.007061,0.002066,0.011342,0.000086,0.004275,0.000258
21,0.167864,0.423426,0.396436,0.000499,0.000559,0.002206,0.007526,0.000190,0.000296,0.000998
22,0.703282,0.005000,0.034768,0.002285,0.011344,0.075937,0.030738,0.112308,0.001406,0.022930
23,0.938324,0.012447,0.006290,0.021417,0.005430,0.005711,0.002045,0.006798,0.000056,0.001482
24,0.595259,0.159555,0.011688,0.039239,0.006673,0.092548,0.029691,0.035941,0.000649,0.028758
25,0.828843,0.093569,0.028970,0.000840,0.002266,0.008710,0.008218,0.027140,0.000253,0.001193
26,0.064675,0.122203,0.040431,0.562423,0.070587,0.015530,0.106422,0.000628,0.001238,0.015863
27,0.030610,0.369035,0.565716,0.002217,0.001261,0.020496,0.008339,0.000197,0.001762,0.000368
28,0.309267,0.002222,0.021921,0.002222,0.014966,0.012801,0.006883,0.594748,0.024192,0.010779
29,0.604527,0.003055,0.003838,0.010144,0.046729,0.066917,0.016700,0.192479,0.051291,0.004320
30,0.947161,0.011318,0.003418,0.000907,0.008296,0.010646,0.006401,0.009101,0.002708,0.000044
31,0.066290,0.021880,0.010855,0.573564,0.010920,0.029418,0.045584,0.002888,0.000111,0.238490
32,0.974577,0.004862,0.004263,0.000907,0.002588,0.000524,0.002301,0.002479,0.000128,0.007371
33,0.738535,0.026917,0.002731,0.000893,0.006452,0.005676,0.043683,0.145178,0.000324,0.029611
34,0.506891,0.018682,0.024378,0.047707,0.053496,0.124630,0.015204,0.082430,0.090263,0.036319
35,0.174258,0.127422,0.003120,0.657881,0.001773,0.003170,0.001613,0.001051,0.000287,0.029424
36,0.032819,0.078475,0.061190,0.072335,0.004762,0.743651,0.001104,0.002922,0.000526,0.002216
37,0.895402,0.029620,0.002100,0.014137,0.004390,0.006056,0.008765,0.037086,0.000284,0.002159
38,0.935449,0.001132,0.000557,0.001056,0.033912,0.006126,0.003509,0.012792,0.005259,0.000208
39,0.984541,0.010091,0.000319,0.001316,0.000952,0.000416,0.000120,0.001650,0.000020,0.000573
40,0.289087,0.590159,0.020167,0.031283,0.020413,0.035518,0.007400,0.001715,0.002905,0.001354
41,0.784683,0.007800,0.003991,0.002595,0.055088,0.021402,0.051007,0.043547,0.001916,0.027971
42,0.556155,0.401218,0.004083,0.001250,0.008302,0.003201,0.002096,0.005842,0.013197,0.004655
43,0.027043,0.001025,0.725210,0.000268,0.008485,0.012436,0.065679,0.017454,0.002732,0.139670
44,0.532119,0.082995,0.107929,0.028290,0.038392,0.063581,0.021440,0.101465,0.016652,0.007136
45,0.916422,0.034921,0.012771,0.006432,0.004201,0.005954,0.008415,0.001507,0.000828,0.008550
46,0.063687,0.924041,0.006966,0.000304,0.003066,0.000729,0.000942,0.000121,0.000129,0.000015
47,0.260028,0.686711,0.007286,0.005048,0.015206,0.002035,0.020189,0.000131,0.002986,0.000380
48,0.892645,0.054718,0.000819,0.007720,0.012870,0.013861,0.016202,0.000587,0.000279,0.000300
49,0.223391,0.013972,0.003304,0.248922,0.047276,0.213424,0.005877,0.215919,0.000292,0.027624
50,0.727854,0.069164,0.008282,0.017681,0.022339,0.073399,0.022812,0.039633,0.013379,0.005457
51,0.012968,0.918334,0.067430,0.000633,0.000009,0.000513,0.000093,0.000003,0.000001,0.000018
52,0.177829,0.046533,0.455002,0.002250,0.026979,0.269772,0.002538,0.011282,0.007726,0.000089
53,0.245281,0.075342,0.017915,0.183838,0.023479,0.169757,0.261279,0.006206,0.009574,0.007329
54,0.660510,0.022964,0.002994,0.009168,0.203890,0.011244,0.019383,0.064925,0.001403,0.003519
55,0.002441,0.002518,0.987644,0.000023,0.000122,0.004446,0.000039,0.000077,0.002676,0.000015
56,0.033719,0.025401,0.873517,0.002802,0.003108,0.010776,0.002404,0.000257,0.047580,0.000437
57,0.075611,0.048449,0.003483,0.052759,0.417565,0.238265,0.018190,0.011365,0.049109,0.085204
58,0.957546,0.019487,0.004527,0.000255,0.004564,0.000892,0.001632,0.009624,0.000184,0.001289
59,0.000118,0.000933,0.922809,0.000443,0.021896,0.026253,0.000029,0.000012,0.027501,0.000006
60,0.461028,0.441779,0.010019,0.003804,0.038648,0.012963,0.017068,0.013043,0.000135,0.001513
61,0.654737,0.014803,0.005640,0.062459,0.041881,0.046580,0.124934,0.013251,0.002804,0.032911
62,0.928720,0.015893,0.032600,0.002167,0.005414,0.007087,0.002313,0.002807,0.000183,0.002817
63,0.102365,0.199360,0.001982,0.553570,0.050170,0.042154,0.015619,0.014425,0.001374,0.018981
64,0.969934,0.000763,0.001358,0.004952,0.000964,0.002907,0.001723,0.016466,0.000577,0.000356
65,0.328032,0.013019,0.023336,0.101095,0.099784,0.260705,0.076709,0.013358,0.080389,0.003571
66,0.449842,0.477993,0.007563,0.004019,0.011959,0.001089,0.001556,0.000375,0.000105,0.045500
67,0.830123,0.020438,0.010836,0.005437,0.001816,0.045285,0.001258,0.054104,0.027007,0.003695
