Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.142444,0.114627,0.515609,0.003544,0.013184,0.048574,0.132165,0.001270,0.025867,0.002715
2,0.083340,0.018956,0.049331,0.010232,0.020235,0.020800,0.150328,0.009633,0.635828,0.001317
3,0.657004,0.030638,0.001820,0.000903,0.022214,0.013529,0.037910,0.212498,0.000332,0.023152
4,0.981770,0.007543,0.001285,0.000494,0.001187,0.003319,0.002099,0.001815,0.000111,0.000378
5,0.968581,0.003782,0.001568,0.000686,0.000515,0.015332,0.000805,0.007097,0.000391,0.001243
6,0.577813,0.006677,0.001181,0.005713,0.144862,0.088633,0.062446,0.108525,0.000055,0.004095
7,0.204070,0.040840,0.014351,0.038798,0.250374,0.084968,0.046379,0.001738,0.314076,0.004406
8,0.578436,0.004762,0.000589,0.000610,0.043015,0.001609,0.017690,0.310014,0.000667,0.042608
9,0.941139,0.001603,0.001877,0.000600,0.031117,0.002539,0.015270,0.005084,0.000073,0.000699
10,0.369198,0.574986,0.020832,0.001921,0.001109,0.003477,0.002487,0.020508,0.004508,0.000974
11,0.858794,0.031544,0.002867,0.001052,0.045956,0.010830,0.044894,0.003536,0.000029,0.000497
12,0.074186,0.023725,0.142788,0.071581,0.162482,0.003342,0.059751,0.036135,0.000184,0.425826
13,0.901005,0.026305,0.007378,0.000885,0.025059,0.006906,0.016715,0.002621,0.000958,0.012169
14,0.085673,0.007837,0.019472,0.124665,0.023340,0.005231,0.005695,0.384523,0.014108,0.329456
15,0.225866,0.074084,0.002877,0.572548,0.013311,0.043177,0.060414,0.003112,0.000153,0.004457
16,0.361441,0.114729,0.001328,0.075963,0.050706,0.005654,0.064774,0.312235,0.000309,0.012860
17,0.445411,0.158418,0.122042,0.026406,0.062793,0.100109,0.030342,0.010290,0.034571,0.009617
18,0.996526,0.002397,0.000246,0.000014,0.000115,0.000230,0.000029,0.000413,0.000013,0.000016
19,0.114667,0.006190,0.418103,0.002664,0.004144,0.411253,0.017458,0.019223,0.004849,0.001448
20,0.252683,0.697367,0.011278,0.003525,0.003502,0.004664,0.023062,0.000103,0.003333,0.000482
21,0.196724,0.707693,0.088960,0.000297,0.000120,0.001394,0.004557,0.000032,0.000057,0.000166
22,0.687123,0.005921,0.021345,0.001283,0.011866,0.034301,0.050644,0.082166,0.000985,0.104366
23,0.939151,0.023959,0.003336,0.008041,0.011739,0.002327,0.001729,0.007846,0.000018,0.001856
24,0.479218,0.341216,0.000668,0.115282,0.002220,0.023850,0.016959,0.012872,0.000160,0.007556
25,0.753490,0.173564,0.022090,0.000542,0.002049,0.009109,0.007750,0.029885,0.000310,0.001209
26,0.095337,0.130099,0.017743,0.421317,0.185868,0.020365,0.107836,0.004541,0.001958,0.014936
27,0.030809,0.245654,0.669082,0.004132,0.000664,0.037911,0.010823,0.000061,0.000612,0.000252
28,0.265760,0.004996,0.017871,0.018007,0.029824,0.029335,0.010695,0.577445,0.026806,0.019262
29,0.531686,0.005515,0.008027,0.015770,0.055439,0.120721,0.021042,0.177679,0.058979,0.005142
30,0.921077,0.009758,0.005195,0.002659,0.013933,0.012041,0.010207,0.020159,0.004368,0.000603
31,0.106255,0.072151,0.005948,0.654365,0.016164,0.024094,0.034920,0.005643,0.000205,0.080257
32,0.978960,0.007407,0.006354,0.000571,0.000284,0.000944,0.000271,0.000448,0.000041,0.004721
33,0.744851,0.067233,0.003039,0.002389,0.004566,0.006907,0.078490,0.075632,0.000789,0.016104
34,0.280234,0.010198,0.033490,0.037547,0.241550,0.094701,0.035280,0.058100,0.165496,0.043405
35,0.179088,0.141062,0.022798,0.419043,0.029733,0.009408,0.010977,0.009959,0.003172,0.174760
36,0.171400,0.145016,0.050921,0.109222,0.006827,0.502779,0.002091,0.005696,0.000140,0.005908
37,0.950642,0.019976,0.001539,0.004446,0.000520,0.002240,0.001833,0.017977,0.000037,0.000790
38,0.967945,0.002438,0.000786,0.001245,0.012018,0.008154,0.001070,0.004900,0.001045,0.000399
39,0.985334,0.007700,0.000514,0.000183,0.001232,0.000966,0.000090,0.002335,0.000008,0.001638
40,0.218796,0.506290,0.013592,0.117185,0.033058,0.061620,0.029026,0.012653,0.003213,0.004566
41,0.862799,0.015035,0.004724,0.002972,0.022814,0.022437,0.025907,0.033066,0.000704,0.009544
42,0.281848,0.706881,0.000536,0.000664,0.004720,0.000568,0.000928,0.001298,0.002015,0.000543
43,0.114017,0.012686,0.561015,0.000513,0.026630,0.023090,0.109890,0.037372,0.004806,0.109980
44,0.648430,0.071063,0.068293,0.022259,0.026806,0.054209,0.010454,0.076615,0.013978,0.007892
45,0.799309,0.098269,0.019776,0.004095,0.008349,0.006946,0.031682,0.018418,0.003105,0.010051
46,0.028794,0.966708,0.002339,0.000900,0.000474,0.000326,0.000359,0.000054,0.000025,0.000021
47,0.285902,0.677114,0.002654,0.004487,0.010399,0.002254,0.015820,0.000188,0.000787,0.000394
48,0.910683,0.054978,0.001838,0.004108,0.004047,0.012629,0.009438,0.001457,0.000104,0.000717
49,0.327074,0.038904,0.000610,0.262258,0.032984,0.081705,0.002704,0.240593,0.000078,0.013090
50,0.610168,0.128522,0.007040,0.051591,0.019400,0.071901,0.057040,0.031574,0.017377,0.005388
51,0.012955,0.844583,0.141436,0.000317,0.000016,0.000390,0.000295,0.000000,0.000001,0.000007
52,0.164284,0.038339,0.545490,0.003100,0.041274,0.174002,0.010748,0.013228,0.009253,0.000280
53,0.270011,0.189160,0.022472,0.093308,0.028243,0.113087,0.255666,0.011220,0.009402,0.007431
54,0.626933,0.053003,0.000973,0.006277,0.118252,0.007005,0.025577,0.157131,0.000775,0.004075
55,0.002814,0.002310,0.975390,0.000094,0.000739,0.008305,0.000177,0.000067,0.010088,0.000017
56,0.024494,0.020479,0.810587,0.015281,0.018764,0.037738,0.010923,0.000397,0.060742,0.000595
57,0.022919,0.010928,0.002797,0.007811,0.779979,0.049124,0.041011,0.009405,0.040054,0.035974
58,0.964908,0.021358,0.005421,0.000140,0.001610,0.000827,0.000926,0.003518,0.000019,0.001272
59,0.000305,0.000333,0.975211,0.000116,0.006214,0.009620,0.000020,0.000006,0.008169,0.000007
60,0.557603,0.287557,0.020683,0.002901,0.054088,0.012118,0.015047,0.044861,0.000595,0.004547
61,0.724549,0.015901,0.004182,0.086860,0.020682,0.031919,0.074093,0.008246,0.000848,0.032719
62,0.859385,0.015147,0.089755,0.001157,0.004944,0.007786,0.001733,0.007118,0.000088,0.012886
63,0.132638,0.193797,0.001866,0.485929,0.071221,0.060309,0.007228,0.034676,0.001053,0.011283
64,0.983387,0.003358,0.001787,0.002208,0.002193,0.001509,0.001810,0.002486,0.001101,0.000161
65,0.304538,0.020137,0.012226,0.138438,0.182301,0.207063,0.093327,0.016028,0.018642,0.007300
66,0.753536,0.234263,0.001601,0.000684,0.004037,0.000827,0.001208,0.000537,0.000002,0.003304
67,0.859910,0.016753,0.000829,0.002275,0.000733,0.021357,0.000318,0.092538,0.004393,0.000895
68,0.083409,0.622858,0.002541,0.251152,0.012361,0.003554,0.019236,0.001807,0.000035,0.003047
69,0.080460,0.821480,0.014268,0.035404,0.033566,0.007020,0.006755,0.000119,0.000164,0.000763
70,0.800361,0.103787,0.047381,0.010773,0.015285,0.011998,0.002314,0.004216,0.000358,0.003528
71,0.977421,0.000768,0.000113,0.000003,0.001762,0.000607,0.000268,0.017787,0.000032,0.001237
72,0.526944,0.071604,0.012839,0.025060,0.209838,0.065099,0.014637,0.064664,0.000865,0.008451
73,0.535399,0.024770,0.007860,0.032107,0.018152,0.072482,0.002809,0.273344,0.000635,0.032442
74,0.149777,0.028871,0.055458,0.059373,0.129827,0.026571,0.177611,0.017046,0.000548,0.354918
75,0.454098,0.005321,0.003730,0.000107,0.003181,0.001324,0.004629,0.519846,0.006100,0.001663
76,0.017729,0.762954,0.215619,0.000292,0.000034,0.002705,0.000573,0.000002,0.000056,0.000037
77,0.846477,0.111762,0.004326,0.000511,0.003046,0.014589,0.002880,0.015756,0.000037,0.000616
78,0.013449,0.019430,0.834067,0.002847,0.000974,0.076945,0.009550,0.000564,0.030745,0.011430
79,0.032987,0.002024,0.011577,0.010537,0.032299,0.246845,0.024200,0.002904,0.629995,0.006632
80,0.441875,0.113042,0.027386,0.037731,0.027034,0.043843,0.023145,0.034692,0.032718,0.218534
81,0.013972,0.017607,0.537030,0.006519,0.002275,0.113258,0.004677,0.000748,0.213056,0.090857
82,0.837852,0.021471,0.000479,0.001405,0.009084,0.001169,0.059468,0.064398,0.003094,0.001579
83,0.771175,0.016384,0.000467,0.000544,0.007018,0.003389,0.074177,0.108897,0.013101,0.004850
84,0.387918,0.572510,0.007516,0.019995,0.002797,0.006023,0.002091,0.000323,0.000012,0.000815
85,0.001544,0.001222,0.271618,0.000991,0.000089,0.012331,0.000329,0.000020,0.711829,0.000027
86,0.876229,0.009950,0.007505,0.002308,0.009147,0.005870,0.017471,0.049392,0.000098,0.022031
87,0.051130,0.196380,0.007407,0.667475,0.006057,0.004673,0.030935,0.000015,0.000031,0.035898
88,0.040421,0.058179,0.590435,0.005169,0.008109,0.281634,0.006515,0.000354,0.002578,0.006607
89,0.066306,0.003117,0.013725,0.352500,0.007287,0.019866,0.001443,0.514652,0.000589,0.020515
90,0.724563,0.016703,0.007517,0.028544,0.017569,0.040598,0.057657,0.081460,0.003026,0.022361
91,0.389854,0.038892,0.080495,0.034219,0.025175,0.121775,0.032670,0.009091,0.002141,0.265689
92,0.095640,0.184002,0.665719,0.006728,0.011450,0.022659,0.009685,0.000743,0.002417,0.000956
93,0.942904,0.014133,0.005087,0.000111,0.015635,0.005683,0.004744,0.009225,0.000543,0.001935
94,0.973405,0.007002,0.002978,0.000060,0.010273,0.000897,0.001480,0.003219,0.000207,0.000477
95,0.711621,0.101144,0.004958,0.003014,0.128471,0.009869,0.035826,0.003545,0.001378,0.000175
96,0.797499,0.032092,0.001020,0.075995,0.005772,0.015571,0.052692,0.015204,0.000420,0.003733
97,0.000746,0.000164,0.000650,0.001317,0.970609,0.024334,0.001446,0.000345,0.000252,0.000137
98,0.173766,0.295034,0.019925,0.361666,0.014234,0.059764,0.011057,0.054872,0.001240,0.008443
99,0.130736,0.814738,0.009896,0.001803,0.016129,0.003533,0.021095,0.000776,0.001008,0.000286
100,0.174783,0.007713,0.103238,0.015828,0.331946,0.046541,0.041404,0.030957,0.220429,0.027162
101,0.928811,0.005464,0.002138,0.000318,0.042990,0.001457,0.010145,0.006996,0.000122,0.001559
102,0.047351,0.012219,0.002917,0.644862,0.044998,0.014539,0.099852,0.016582,0.000911,0.115770
103,0.343371,0.082018,0.010702,0.069260,0.328293,0.028498,0.076484,0.024116,0.013082,0.024176
104,0.741121,0.045246,0.000959,0.004736,0.061333,0.017721,0.081783,0.045656,0.000239,0.001206
105,0.066318,0.145831,0.002847,0.671641,0.027145,0.015027,0.028352,0.029908,0.012722,0.000208
