Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.154986,0.134772,0.544190,0.002076,0.014252,0.036657,0.094961,0.001867,0.014008,0.002232
2,0.142769,0.023706,0.067034,0.016063,0.020199,0.025451,0.197056,0.019401,0.486929,0.001392
3,0.649510,0.033844,0.002359,0.000667,0.027157,0.022638,0.050913,0.191129,0.000720,0.021062
4,0.961964,0.010910,0.001977,0.001204,0.002583,0.010834,0.005876,0.002995,0.000462,0.001195
5,0.912944,0.005782,0.002799,0.001850,0.001036,0.054262,0.002821,0.013728,0.001329,0.003450
6,0.545121,0.005595,0.001901,0.005360,0.162764,0.118374,0.063821,0.093290,0.000085,0.003690
7,0.286190,0.059478,0.009346,0.031424,0.223033,0.087342,0.038197,0.001504,0.260027,0.003459
8,0.616425,0.005199,0.001156,0.000985,0.026801,0.002042,0.038819,0.277989,0.000805,0.029779
9,0.870969,0.001337,0.008565,0.001774,0.062360,0.005572,0.040624,0.007565,0.000130,0.001105
10,0.415444,0.518371,0.015662,0.001690,0.000927,0.004320,0.004144,0.030990,0.007054,0.001398
11,0.824432,0.027587,0.003419,0.001014,0.074924,0.016228,0.048169,0.003285,0.000081,0.000859
12,0.070328,0.026986,0.343390,0.107565,0.146111,0.001416,0.065478,0.050153,0.000089,0.188483
13,0.889305,0.028321,0.006992,0.000936,0.025299,0.009078,0.022842,0.001976,0.001117,0.014135
14,0.147064,0.011570,0.039269,0.192993,0.022552,0.004671,0.006607,0.299769,0.030313,0.245192
15,0.378891,0.080349,0.001358,0.410335,0.017855,0.048641,0.053407,0.003644,0.000149,0.005370
16,0.350978,0.178715,0.001502,0.085530,0.050654,0.005629,0.063647,0.253363,0.000487,0.009497
17,0.395134,0.212726,0.149253,0.023523,0.060812,0.088480,0.025651,0.010242,0.024398,0.009782
18,0.984675,0.006963,0.002545,0.000085,0.000505,0.002686,0.000382,0.001982,0.000072,0.000104
19,0.139634,0.003333,0.513343,0.002275,0.003268,0.286051,0.014937,0.034085,0.001733,0.001341
20,0.364448,0.583032,0.005754,0.003368,0.003871,0.007125,0.027623,0.000091,0.003898,0.000791
21,0.357952,0.546961,0.085324,0.000279,0.000172,0.001877,0.006873,0.000062,0.000041,0.000460
22,0.725711,0.003379,0.040163,0.000839,0.009762,0.029710,0.044074,0.066508,0.000574,0.079280
23,0.919162,0.020902,0.007597,0.018775,0.015860,0.003031,0.002639,0.009647,0.000033,0.002352
24,0.445113,0.358335,0.000400,0.108039,0.001906,0.044107,0.017067,0.014326,0.000318,0.010389
25,0.747061,0.174130,0.023119,0.000490,0.002213,0.012397,0.008553,0.029929,0.000324,0.001785
26,0.087335,0.226483,0.015801,0.403283,0.142226,0.014919,0.092542,0.005204,0.001623,0.010585
27,0.034267,0.335465,0.571781,0.003727,0.001287,0.042613,0.009578,0.000173,0.000510,0.000600
28,0.381354,0.004044,0.028726,0.021165,0.019861,0.020509,0.013065,0.464965,0.032292,0.014020
29,0.624708,0.003528,0.007656,0.012507,0.037972,0.087901,0.019497,0.147772,0.054712,0.003747
30,0.902329,0.008238,0.007584,0.004146,0.013073,0.014147,0.017881,0.026029,0.005881,0.000691
31,0.133451,0.119834,0.005379,0.572239,0.013184,0.027862,0.046254,0.007890,0.000178,0.073729
32,0.947879,0.011918,0.023612,0.002077,0.000362,0.002076,0.001122,0.000882,0.000057,0.010014
33,0.763281,0.068752,0.002649,0.001664,0.003350,0.008774,0.076854,0.060678,0.000747,0.013251
34,0.400606,0.009678,0.040622,0.031512,0.177193,0.073479,0.032627,0.057710,0.137760,0.038812
35,0.216244,0.151423,0.017249,0.421815,0.020586,0.006557,0.010765,0.011309,0.002404,0.141648
36,0.133669,0.179073,0.045631,0.096190,0.005241,0.515137,0.002579,0.012382,0.000086,0.010010
37,0.919526,0.017445,0.003853,0.008969,0.001066,0.004955,0.005587,0.036955,0.000175,0.001470
38,0.943805,0.002475,0.001226,0.001559,0.020247,0.017747,0.002299,0.006141,0.003580,0.000920
