Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.152362,0.052552,0.475417,0.003333,0.031802,0.063527,0.198076,0.003805,0.011990,0.007136
2,0.076703,0.013298,0.107158,0.010822,0.022824,0.006814,0.105033,0.006743,0.648136,0.002469
3,0.773600,0.028532,0.000809,0.000979,0.066816,0.021393,0.054737,0.036418,0.000274,0.016443
4,0.937912,0.020478,0.001995,0.004037,0.010019,0.009332,0.009118,0.002929,0.001761,0.002419
5,0.875552,0.007048,0.000998,0.001373,0.000787,0.066992,0.001279,0.040658,0.002184,0.003130
6,0.607334,0.004684,0.001050,0.002291,0.122356,0.115834,0.041597,0.102393,0.000112,0.002349
7,0.235430,0.046254,0.005835,0.023677,0.245268,0.100143,0.034752,0.002685,0.302127,0.003830
8,0.647822,0.010288,0.002927,0.001745,0.109676,0.003454,0.028564,0.186595,0.001691,0.007240
9,0.929299,0.002090,0.008475,0.002390,0.024266,0.008204,0.020416,0.003754,0.000032,0.001073
10,0.460325,0.496197,0.012134,0.001851,0.001657,0.003272,0.002122,0.014684,0.007308,0.000449
11,0.840807,0.025503,0.003961,0.000537,0.031554,0.022197,0.067826,0.006858,0.000061,0.000695
12,0.018868,0.010393,0.189690,0.096954,0.277503,0.001481,0.040952,0.045323,0.000101,0.318734
13,0.872588,0.042908,0.011805,0.003075,0.010705,0.021223,0.023136,0.000932,0.002347,0.011281
14,0.185839,0.018888,0.012418,0.303430,0.061972,0.005508,0.002837,0.214744,0.037265,0.157099
15,0.348782,0.043493,0.002091,0.448424,0.005801,0.116188,0.029809,0.001912,0.000426,0.003074
16,0.323370,0.094891,0.001331,0.046791,0.022787,0.004027,0.028146,0.457718,0.000441,0.020496
17,0.374555,0.230015,0.114292,0.010796,0.072722,0.125126,0.016052,0.014209,0.032760,0.009473
18,0.947607,0.026278,0.002095,0.000415,0.002420,0.019133,0.000985,0.000672,0.000361,0.000034
19,0.164762,0.004296,0.559695,0.001800,0.001861,0.167686,0.011250,0.082981,0.002955,0.002714
20,0.392044,0.579576,0.000879,0.003257,0.007388,0.003594,0.007450,0.000091,0.005387,0.000336
21,0.458355,0.352996,0.177675,0.000241,0.000409,0.003384,0.004038,0.000251,0.000089,0.002562
22,0.705838,0.004507,0.040130,0.001903,0.011819,0.050555,0.033416,0.118321,0.001508,0.032003
23,0.896957,0.011592,0.019762,0.037928,0.007762,0.010412,0.003653,0.008966,0.000070,0.002899
24,0.384805,0.428099,0.002196,0.030856,0.002643,0.085460,0.018290,0.036259,0.000439,0.010954
25,0.813592,0.095499,0.027234,0.000638,0.002087,0.012470,0.011400,0.035380,0.000271,0.001429
26,0.070191,0.275444,0.011912,0.443319,0.096330,0.012729,0.065446,0.001357,0.000725,0.022547
27,0.057626,0.525384,0.368301,0.002087,0.002931,0.026554,0.011472,0.000967,0.001581,0.003098
