Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.120147,0.054655,0.502418,0.003703,0.030611,0.062249,0.198534,0.002544,0.019771,0.005369
2,0.025631,0.006185,0.053669,0.004278,0.010789,0.004495,0.057391,0.002082,0.834341,0.001140
3,0.808547,0.019514,0.000722,0.001274,0.058077,0.010398,0.039508,0.046277,0.000170,0.015513
4,0.966337,0.013693,0.001128,0.001864,0.005468,0.003761,0.003578,0.002374,0.000627,0.001171
5,0.969659,0.002656,0.000284,0.000305,0.000242,0.010659,0.000174,0.015055,0.000367,0.000598
6,0.621854,0.004115,0.000705,0.002803,0.134514,0.065082,0.029864,0.138440,0.000093,0.002531
7,0.185203,0.035333,0.010798,0.028061,0.285846,0.106023,0.036052,0.003000,0.305909,0.003777
8,0.596437,0.008533,0.001716,0.001859,0.112462,0.002909,0.023828,0.242260,0.001084,0.008912
9,0.980181,0.001404,0.001191,0.000551,0.008156,0.001879,0.004348,0.001946,0.000010,0.000334
10,0.412420,0.545385,0.015999,0.001852,0.001564,0.003288,0.001698,0.011060,0.006380,0.000355
11,0.888993,0.022968,0.002673,0.000561,0.024654,0.010029,0.041863,0.007667,0.000051,0.000541
12,0.018490,0.005240,0.042381,0.062803,0.294122,0.001812,0.044505,0.019176,0.000100,0.511371
13,0.854694,0.058143,0.016207,0.003651,0.012387,0.019196,0.021684,0.001374,0.002551,0.010112
14,0.167472,0.013444,0.007490,0.277585,0.074259,0.009423,0.003427,0.189255,0.025683,0.231962
15,0.252957,0.036121,0.002170,0.578572,0.006487,0.087994,0.030336,0.001950,0.000339,0.003074
16,0.281572,0.043925,0.000769,0.042366,0.020545,0.002971,0.026648,0.554965,0.000227,0.026012
17,0.355924,0.195387,0.141729,0.012712,0.075168,0.140996,0.014832,0.011309,0.044357,0.007586
18,0.990413,0.006803,0.000362,0.000048,0.000348,0.001733,0.000071,0.000174,0.000044,0.000003
19,0.123845,0.007004,0.591336,0.001648,0.002392,0.209896,0.008331,0.046787,0.006805,0.001956
20,0.236437,0.744991,0.001777,0.002781,0.004296,0.001957,0.004896,0.000084,0.002594,0.000188
21,0.296024,0.511853,0.184706,0.000225,0.000338,0.002690,0.002637,0.000177,0.000141,0.001208
22,0.672420,0.007565,0.029356,0.002512,0.017152,0.052784,0.032291,0.146273,0.002154,0.037493
23,0.927878,0.014365,0.007839,0.020279,0.007546,0.008912,0.002527,0.008208,0.000064,0.002383
24,0.466963,0.354033,0.003553,0.042817,0.003248,0.061843,0.019164,0.036503,0.000428,0.011448
